,feature,importance
40,site_category_23,0.087807 
15,C_pix,0.085752 
41,app_category_0,0.077129 
18,site_category_1,0.060018 
70,app_category_29,0.052296 
4,C21,0.049147 
65,app_category_24,0.044525 
16,C_device_type_1,0.033052 
19,site_category_2,0.031602 
20,site_category_3,0.030916 
12,C_site_id,0.029270 
13,C_site_domain,0.028844 
73,site_id_users,0.028753 
7,device_conn_type,0.027419 
72,app_id_users,0.024835 
1,C18,0.024377 
45,app_category_4,0.022359 
22,site_category_5,0.021919 
10,is_device,0.021409 
60,app_category_19,0.021286 
11,C_app_id,0.020745 
5,app_domain,0.020702 
39,site_category_22,0.020085 
6,banner_pos,0.018871 
3,C20,0.018248 
0,C14,0.017611 
66,app_category_25,0.017469 
2,C19,0.015454 
14,C_device_model,0.015448 
8,hour,0.013102 
89,day,0.012121 
88,site_category,0.011336 
,,
